Rank (Borda),Model,Total Parameters (B),Embedding Dimensions,Max Tokens,Reranking,Retrieval
410,LateOn-Code,0.149,128.0,8192.0,0.0,0.0
418,english_code_retriever,0.149,768.0,8192.0,0.0,0.0
376,ColBERT-Zero-unsupervised,0.149,128.0,8192.0,0.0,0.0
334,USER2-base,0.149,768.0,8192.0,0.0,0.0
252,gte-modernbert-base,0.149,768.0,8192.0,0.0,0.0
218,granite-embedding-english-r2,0.149,768.0,8192.0,0.0,0.0
372,DenseOn-unsupervised,0.149,768.0,8192.0,0.0,0.0
364,DenseOn,0.149,768.0,8192.0,0.0,0.0
369,LateOn,0.149,128.0,8192.0,0.0,0.0
375,ColBERT-Zero,0.149,128.0,8192.0,0.0,0.0
385,ColBERT-Zero-supervised,0.149,128.0,8192.0,0.0,0.0
383,LateOn-unsupervised,0.149,128.0,8192.0,0.0,0.0
227,Tarka-Embedding-150M-V1,0.156,768.0,2048.0,0.0,0.0
260,modernbert-embed-base,0.149,768.0,8192.0,0.0,0.0
374,sentence-transformer-parsbert-fa,0.163,768.0,512.0,0.0,0.0
360,bert-base-parsbert-uncased,0.163,768.0,512.0,0.0,0.0
346,nb-bert-base,0.178,768.0,512.0,0.0,0.0
279,nb-sbert-base,0.178,4096.0,75.0,0.0,0.0
299,Solon-embeddings-mini-beta-1.1,0.212,768.0,8192.0,0.0,0.0
224,sentence-t5-base,0.223,768.0,512.0,0.0,0.0
358,Zhinao-ChineseModernBert-Embedding,0.227,768.0,512.0,0.0,0.0
370,flan-t5-base,0.248,0.0,0.0,0.0,0.0
