,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
353,354,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),91%,0.304,0.326,1792.0,512.0,,,,,,,,,,,
354,355,[flan-t5-large](https://huggingface.co/google/flan-t5-large),100%,0.75,0.783,,,,,,,,4.72,,,,,
355,356,[monot5-3b-msmarco-10k](https://huggingface.co/castorini/monot5-3b-msmarco-10k),⚠️ NA,2.917,2.95,,,,,,,,2.53,,,,,
356,357,[fabert](https://huggingface.co/sbunlp/fabert),100%,0.086,0.124,768.0,512.0,,,,,,,,,,,
357,358,[Zhinao-ChineseModernBert-Embedding](https://huggingface.co/qihoo360/Zhinao-ChineseModernBert-Embedding),100%,0.11,0.227,768.0,512.0,,,,,,,,,,,
358,359,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,0.086,0.135,768.0,768.0,,,,,,,,,,,
359,360,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,0.086,0.163,768.0,512.0,,,,,,,,,,,
360,361,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,0.086,0.123,768.0,512.0,,,,,,,,,,,
361,362,[sentence-bert-swedish-cased](https://huggingface.co/KBLab/sentence-bert-swedish-cased),⚠️ NA,0.086,0.125,768.0,384.0,,,,,,,,,,,
362,363,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,0.086,0.118,768.0,512.0,,,,,,,,,,,
363,364,[DenseOn](https://huggingface.co/lightonai/DenseOn),99%,0.11,0.149,768.0,8192.0,,,,,,,,,,,
364,365,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100%,0.313,0.335,1024.0,512.0,,,,,,,,,,,
365,366,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99%,7.111,7.242,4096.0,32768.0,,,,,,,,,,,
366,367,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,0.086,0.118,768.0,514.0,,,,,,,,,,,
367,368,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100%,0.093,0.109,768.0,512.0,,,,,,,,,,,
368,369,[LateOn](https://huggingface.co/lightonai/LateOn),99%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
369,370,[flan-t5-base](https://huggingface.co/google/flan-t5-base),100%,0.223,0.248,,,,,,,,0.64,,,,,
370,371,monot5-base-msmarco-10k,⚠️ NA,0.272,0.297,,,,,,,,-1.74,,,,,
371,372,[DenseOn-unsupervised](https://huggingface.co/lightonai/DenseOn-unsupervised),99%,0.11,0.149,768.0,8192.0,,,,,,,,,,,
372,373,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,0.023,0.033,512.0,512.0,,,,,,,,,,,
373,374,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,0.086,0.163,768.0,512.0,,,,,,,,,,,
374,375,[ColBERT-Zero](https://huggingface.co/lightonai/ColBERT-Zero),100%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
375,376,[ColBERT-Zero-unsupervised](https://huggingface.co/lightonai/ColBERT-Zero-unsupervised),100%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
376,377,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),99%,3.634,4.022,2560.0,32768.0,,,,,,,,,,,
